講義名,開講期間,曜日・時限,講義室,URL
英語Ⅰ(General English Skills 1a)　GES 経済F01　第1ターム,第1,火2,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11112_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 経済F02+再履生　第1ターム,第1,火2,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11113_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 再履生（2015～2020年度入学者）のみ　第1ターム,第1,火2,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12146_ja_JP.html
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　火２・木２,第1,火2,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11504_ja_JP.html
英語Ⅱ(Academic Essay Writing 2a)　AEW 第1ターム　火２・木２,第1,火2,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12601_ja_JP.html
日本語Ⅱa(聴解),第1,火2,全学講義棟 3-201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28211_ja_JP.html
言語学概説　第１ターム 火２・木２,第1,火2,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ105013_ja_JP.html
会計学概説　第１ターム 火２・木２,第1,火2,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ203211_ja_JP.html
統計学入門　第１ターム 火２・木２,第1,火2,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ208111_ja_JP.html
テキストマイニング入門　第１ターム 火２・木２,第1,火2,全学講義棟 1-205,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ500181_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　火２・金２,第1,火2,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11404_ja_JP.html
日本語C(聴解・会話) a,第1,火2,教養学部-36,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200103_ja_JP.html
日本語E(聴解・会話) a,第1,火2,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200109_ja_JP.html
日本語B(総合) a,第1,火2,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200102_ja_JP.html
日本語A(総合) a,第1,火2,全学講義棟 3-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200101_ja_JP.html
地理情報科学特論,第1,火2,工学部情報工学科棟-端末演習室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240303/240303_MM33170_ja_JP.html
機械システムダイナミクス特論,第1,火2,工-セミナー室8,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240401/240401_MM40270_ja_JP.html
地圏デザイン序説(JE),第1,火2,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240501/240501_MM50070_ja_JP.html
国際政治経済学入門,第1,火3,全学講義棟 1-304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F11042_ja_JP.html
日本近世文学演習Ⅱ,第1,火3,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_F560292_ja_JP.html
＊Urban Geography of Japan,第1,火3,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/01/01_FB21053_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01201_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01202_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01203_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-情報教育教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01204_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01205_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01206_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A304,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01207_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01208_ja_JP.html
プレゼミ　第１ターム,第1,火3,全学講義棟 1-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01209_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01211_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01213_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01214_ja_JP.html
プレゼミ　第１ターム,第1,火3,経-A402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01216_ja_JP.html
プレゼミ　第１ターム,第1,火3,全学講義棟 1-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01217_ja_JP.html
プレゼミ　第１ターム,第1,火3,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A01218_ja_JP.html
マクロ経済学　第１ターム,第1,火3,オンデマンド,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A02101_ja_JP.html
物理学実験Ⅱa,第1,火3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12414-1_ja_JP.html
物理学実験Ⅱb,第1,火3,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12414-3_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F01　第1ターム,第1,火3,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11114_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F02　第1ターム,第1,火3,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11115_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F03　第1ターム,第1,火3,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11116_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F04　第1ターム,第1,火3,全学講義棟 1-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11117_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F05　第1ターム,第1,火3,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11118_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F06　第1ターム,第1,火3,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11119_ja_JP.html
英語Ⅰ(General English Skills 1a)　GES 工F07+再履生　第1ターム,第1,火3,全学講義棟 2-102,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11120_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　火３・木３,第1,火3,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11405_ja_JP.html
Urban Geography of Japan,第1,火3,教養学部-24,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC210530_ja_JP.html
先端エレクトロニクス材料特論,第1,火3,工-セミナー室7,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32170_ja_JP.html
Comparative Economic Development in Southeast AsiaⅢ,第1,火3,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC14213_ja_JP.html
管理会計論　第１ターム,第1,火4,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04114_ja_JP.html
行政法　第１ターム,第1,火4,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05114_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07102_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07107_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07113_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07117_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07121_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07122_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07126_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07132_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07134_ja_JP.html
演習Ⅰ　第１ターム,第1,火4,経-A502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07137_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07402_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07407_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07413_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07417_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07421_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07422_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-A402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07432_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-A501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07434_ja_JP.html
演習Ⅳ　第１ターム,第1,火4,経-A502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07437_ja_JP.html
研究科目「日本政治史」　第１ターム、3年生以上履修可,第1,火4,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A70002_ja_JP.html
特殊講義「金融リテラシー概論」　第１ターム,第1,火4,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A71095_ja_JP.html
物理学実験Ⅱa,第1,火4,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12414-1_ja_JP.html
物理学実験Ⅱb,第1,火4,学科指定教室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0402/0402_R12414-3_ja_JP.html
計測工学　火２・金４の週２回授業,第1,火4,工-55,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71110_ja_JP.html
線形代数基礎　火４・木４の週２回授業,第1,火4,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_RT1003-1_ja_JP.html
基礎電気回路　火４・木４の週２回授業,第1,火4,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T61170_ja_JP.html
英語Ⅰ(Basic English 1a)　BE 第1ターム　火４+Eラーニング,第1,火4,全学講義棟 2-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11701_ja_JP.html
英語Ⅰ(Academic Essay Writing 1a)　AEW 第1ターム　火４・木４,第1,火4,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11604_ja_JP.html
日本政治史,第1,火4,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE224270_ja_JP.html
日本近世文学演習Ⅱ,第1,火4,教養学部各研究室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BC221520_ja_JP.html
農作物栽培技術演習,第1,火4,大久保農場,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/24/24_MM60170_ja_JP.html
Comparative Economic Development in Southeast AsiaⅢ,第1,火4,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC14213_ja_JP.html
保育造形実践　第1ターム、副2年以上(23年入学者～),第1,火5,教育Ａ１１２講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y38021_ja_JP.html
管理会計論　第１ターム,第1,火5,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A04114_ja_JP.html
行政法　第１ターム,第1,火5,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A05114_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07102_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07107_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07113_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07117_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07121_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07122_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07126_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07132_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07134_ja_JP.html
演習Ⅰ　第１ターム,第1,火5,経-A502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07137_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-A301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07402_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-B301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07407_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-B302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07413_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-B303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07417_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-A302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07421_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07422_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-A402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07432_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-A501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07434_ja_JP.html
演習Ⅳ　第１ターム,第1,火5,経-A502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A07437_ja_JP.html
研究科目「日本政治史」　第１ターム、3年生以上履修可,第1,火5,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A70002_ja_JP.html
特殊講義「金融リテラシー概論」　第１ターム,第1,火5,経-A504,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A71095_ja_JP.html
機械工学・システムデザイン入門　火５・木５の週２回授業,第1,火5,工-11,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0521/0521_T71040_ja_JP.html
情報基礎　(電気電子物理)火5・木5の週２回授業,第1,火5,工-12,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0522/0522_TX67110_ja_JP.html
特別講義　シン・学問のすすめ～大学生の心理とアイデンティティ形成　第１ターム 火５,第1,火5,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ510011_ja_JP.html
日本政治史,第1,火5,全学講義棟 1-204,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/17/17_BE224270_ja_JP.html
先端エレクトロニクス材料特論,第1,火5,工-セミナー室7,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/240302/240302_MM32170_ja_JP.html
日本近世文学研究特論Ⅲ,第1,火5,,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/27/27_GC12218_ja_JP.html
初等国語科概説　第1ターム、小（国・英・算・も・家）・乳・副2年以上,第1,水1,教育Ａ１１４講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y10010_ja_JP.html
初等体育科概説　第1ターム、小（社・音・図・体）・乳・副2年以上,第1,水1,"教育Ｃ１講義室, 第１体育館",https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/02/02_Y22010_ja_JP.html
国際経済論　第１ターム,第1,水1,経-B201,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A03100_ja_JP.html
特殊講義「経済・経営数学B」　第１ターム,第1,水1,経-A405,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/03/03_A71094_ja_JP.html
科学技術英語　月１・水１の週２回授業,第1,水1,工-31,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T66210_ja_JP.html
水圏防災減災工学　月１・水１の週２回授業,第1,水1,工-32,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/0525/0525_T76250_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S07　第1ターム,第1,水1,全学講義棟 2-501,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12121_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S08　第1ターム,第1,水1,全学講義棟 2-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12122_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S09　第1ターム,第1,水1,全学講義棟 2-502,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12123_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S10　第1ターム,第1,水1,全学講義棟 2-202,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12124_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S11　第1ターム,第1,水1,全学講義棟 2-402,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12125_ja_JP.html
英語Ⅱ(Academic English Skills 2a)　AES 教育S12+再履生　第1ターム,第1,水1,全学講義棟 2-302,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX12126_ja_JP.html
英語Ⅰ(English for Specific Purposes 1a)　ESP 第1ターム　月１・水１,第1,水1,全学講義棟 2-103,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11401_ja_JP.html
英語Ⅰ(Academic Communication Skills 1a)　ACS 第1ターム　月１・水１,第1,水1,ERC（英語なんでも相談室）,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX11501_ja_JP.html
日本語Ⅰa(作文),第1,水1,教養学部-37,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_NX28115_ja_JP.html
芸術概説　第１ターム 月１・水１,第1,水1,教育コモ棟音楽第１講義室,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ102111_ja_JP.html
日本文学・文化概説　第１ターム 月１・水１,第1,水1,全学講義棟 1-301,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ106011_ja_JP.html
市民と憲法　第１ターム 月１・水１,第1,水1,全学講義棟 1-401,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ202112_ja_JP.html
工学と社会（環境社会デザイン系）　第１ターム 月１・水１,第1,水1,全学講義棟 1-207,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ302511_ja_JP.html
健康科学　第１ターム 月１・水１,第1,水1,全学講義棟 1-206,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ305011_ja_JP.html
AL1（社会課題解決型プロデューサー育成）　第１ターム 水１・水２,第1,水1,全学講義棟 1-303,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/06/06_XZ620041_ja_JP.html
日本語D(文法) a,第1,水1,全学講義棟 3-203,https://syllabus.risyu.saitama-u.ac.jp/syllabusHtml/2024/07/07_I2200108_ja_JP.html
